key,value,timestamp,topic,partition,offset
b'ETH/USD',"{""price"": 2174.35, ""pair"": ""ETH/USD"", ""volume"": 0.01307398, ""timestamp"": ""2025-03-08T13:22:37.925275Z"", ""timestamp_ms"": 1741440157925}",1741440158434,trade,0,4098
b'ETH/USD',"{""price"": 2174.41, ""pair"": ""ETH/USD"", ""volume"": 0.08110662, ""timestamp"": ""2025-03-08T13:22:37.925275Z"", ""timestamp_ms"": 1741440157925}",1741440158435,trade,0,4099
b'ETH/USD',"{""price"": 2174.66, ""pair"": ""ETH/USD"", ""volume"": 0.058211, ""timestamp"": ""2025-03-08T13:22:37.955570Z"", ""timestamp_ms"": 1741440157955}",1741440158487,trade,0,4100
b'ETH/USD',"{""price"": 2174.7, ""pair"": ""ETH/USD"", ""volume"": 0.03678668, ""timestamp"": ""2025-03-08T13:22:37.955570Z"", ""timestamp_ms"": 1741440157955}",1741440158488,trade,0,4101
b'ETH/EUR',"{""price"": 2008.17, ""pair"": ""ETH/EUR"", ""volume"": 0.03370631, ""timestamp"": ""2025-03-08T13:22:37.987798Z"", ""timestamp_ms"": 1741440157987}",1741440158531,trade,0,4102
b'ETH/EUR',"{""price"": 2008.44, ""pair"": ""ETH/EUR"", ""volume"": 0.0409897, ""timestamp"": ""2025-03-08T13:22:38.179526Z"", ""timestamp_ms"": 1741440158179}",1741440158651,trade,0,4103
b'ETH/USD',"{""price"": 2175.0, ""pair"": ""ETH/USD"", ""volume"": 0.307162, ""timestamp"": ""2025-03-08T13:22:38.252972Z"", ""timestamp_ms"": 1741440158252}",1741440158745,trade,0,4104
b'ETH/USD',"{""price"": 2174.99, ""pair"": ""ETH/USD"", ""volume"": 18.3785195, ""timestamp"": ""2025-03-08T13:22:40.296075Z"", ""timestamp_ms"": 1741440160296}",1741440160516,trade,0,4105
b'ETH/USD',"{""price"": 2174.99, ""pair"": ""ETH/USD"", ""volume"": 0.01804826, ""timestamp"": ""2025-03-08T13:22:40.296075Z"", ""timestamp_ms"": 1741440160296}",1741440160517,trade,0,4106
b'ETH/USD',"{""price"": 2174.99, ""pair"": ""ETH/USD"", ""volume"": 3.0375, ""timestamp"": ""2025-03-08T13:22:40.296075Z"", ""timestamp_ms"": 1741440160296}",1741440160521,trade,0,4107
